,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
41,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,2,1,4,0,6,6,0,1,0,0,0,0,0,0,0,125145187.56891409,0.0,158747175.8021803,0.005277945854630856,20299287.62732069,0.0,5942456.74311492,0.0013510764057177282,14225191.449600054,0.006080380916154798,862300000.0,0.0,0.012709403176503382,324359299.19113004
42,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,8,0,3,0.0,0.0,130543554.10914826,0.03632201860763954,24198032.45136138,0.0,31722335.236140497,0.006076827313475127,88175439.14937997,0.0,146000000.0,0.0,0.04239884592111467,274639360.94603014
43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,1,0,0,3,198025198.0688961,0.045738598310449116,86738930.08550638,0.038129591653130665,20299287.62732069,0.0,25683722.56000557,0.003144103412798934,123366126.65886453,0.04020064937112673,61400000.0,0.0,0.12721294274750544,454113265.0005933
44,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,3,0,0,6,0,0,0,2,7,7,0,0,0,76431543.68310125,0.0,84729676.0131183,0.008280739820828192,0.0,0.0,41882524.94451648,0.0,0.0,0.0,1457400000.0,0.0,0.008280739820828192,203043744.64073604
45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,7,7,5,0,6,1,7,0,32694901.094161935,0.0,55504614.33542748,0.000711389998178089,182558049.4219182,0.00845369139864735,25957753.651390065,0.0,148963056.75375617,0.004063990189531089,84600000.0,4375.869775256553,0.013229071586356528,445678375.25665385
46,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,5,3,0,0,2,0,0,1,0,0,0,0,0,3,241308561.77073947,0.045738598310449116,50788772.134572476,0.003521640748697829,20299287.62732069,0.0,3606821.256522008,0.000815182228174119,30351526.042379983,0.0,590600000.0,0.0,0.050075421287321065,346354968.8315346
47,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,7,0,0,1,0,1,0,4,5,5,0,0,2,103162272.08375776,0.0,50327829.11681777,0.0019421499721646437,20299287.62732069,0.0,37333393.909299634,0.0,27578229.96765524,0.0,419100000.0,151.18955719086458,0.0019421499721646437,238701012.70485112
48,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,4,2,0,1,9,5,0,9,5,1,3,0,0,0,0,90462322.17815001,0.0,218580552.2616868,0.00022702368242587416,105167450.05808496,0.002576153862252582,15063068.18035096,0.0,15684045.085236806,0.0008112835968446551,273100000.0,1123.3488014348563,0.0036144611415231116,444957437.7635095
49,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,4,6,3,7,2,0,0,0,1,1,0,2,0,234312279.6935407,0.050787651926207204,223777188.5531239,0.0,22167818.198803753,0.0,16588898.93403013,0.0009197310104670444,34177646.24615155,0.002817977799767526,182600000.0,0.0,0.05452536073644178,531023831.62565
50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,6,0,2,7,0,1,0,0,110573595.57493308,0.0,47842699.56310011,0.0,49373045.53988836,0.015147667731974152,23876941.79445107,0.000352036256159232,308678712.51329815,0.12360850285567823,61400000.0,0.0,0.13910820684381162,540344994.9856708
